"data","regiosanitariacodi","regiosanitariadescripcio","edatrang","sexecodi","sexedescripcio","resultatcoviddescripcio","numcasos"
"2020-06-22T00:00:00.000","6400","Girona","30-39","0","Home","Sospitós","8"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","30-39","0","Home","Positiu per Test Ràpid","1"
"2020-06-22T00:00:00.000","6200","Camp de Tarragona","20-29","0","Home","Sospitós","1"
"2020-06-22T00:00:00.000","6700","Catalunya Central","70-79","0","Home","Sospitós","3"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","30-39","0","Home","Sospitós","6"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","30-39","0","Home","Sospitós","6"
"2020-06-22T00:00:00.000","0000","No classificat","20-29","0","Home","Sospitós","1"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","80-89","0","Home","Positiu per ELISA","1"
"2020-06-22T00:00:00.000","6400","Girona","70-79","1","Dona","Sospitós","5"
"2020-06-22T00:00:00.000","7100","Alt Pirineu i Aran","40-49","1","Dona","Positiu per Test Ràpid","1"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","40-49","1","Dona","Sospitós","2"
"2020-06-22T00:00:00.000","6700","Catalunya Central","60-69","0","Home","Sospitós","3"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","0-9","1","Dona","Sospitós","2"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","90+","1","Dona","Sospitós","4"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","70-79","0","Home","Sospitós","7"
"2020-06-22T00:00:00.000","6700","Catalunya Central","80-89","1","Dona","Sospitós","4"
"2020-06-22T00:00:00.000","6100","Lleida","40-49","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","6200","Camp de Tarragona","40-49","0","Home","Sospitós","1"
"2020-06-22T00:00:00.000","6700","Catalunya Central","40-49","1","Dona","Positiu per Test Ràpid","1"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","0-9","1","Dona","Sospitós","3"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","60-69","0","Home","Sospitós","12"
"2020-06-22T00:00:00.000","6400","Girona","40-49","0","Home","Sospitós","17"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","60-69","1","Dona","Sospitós","12"
"2020-06-22T00:00:00.000","6300","Terres de l'Ebre","20-29","1","Dona","Sospitós","4"
"2020-06-22T00:00:00.000","7801","Metropolità Sud","80-89","1","Dona","Sospitós","6"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","10-19","1","Dona","Sospitós","1"
"2020-06-22T00:00:00.000","7803","Barcelona Ciutat","60-69","0","Home","Sospitós","10"
"2020-06-22T00:00:00.000","6100","Lleida","30-39","0","Home","Sospitós","2"
"2020-06-22T00:00:00.000","6100","Lleida","0-9","0","Home","Sospitós","1"
"2020-06-22T00:00:00.000","6100","Lleida","90+","1","Dona","Sospitós","1"
"2020-06-22T00:00:00.000","6400","Girona","50-59","0","Home","Sospitós","11"
"2020-06-22T00:00:00.000","7802","Metropolità Nord","50-59","0","Home","Positiu per ELISA","1"
"2020-06-22T00:00:00.000","6200","Camp de Tarragona","70-79","0","Home","Sospitós","1"
"2020-06-22T00:00:00.000","6200","Camp de Tarragona","20-29","1","Dona","Sospitós","1"
"2020-06-22T00:00:00.000","6400","Girona","30-39","1","Dona","Sospitós","18"
